Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,3660.0,3710.0,3580.0,3660.0,2988.878662109375,357504100
2019-01-07,3660.0,3790.0,3630.0,3790.0,3095.040771484375,565607800
2019-01-14,3770.0,3850.0,3740.0,3800.0,3103.207275390625,541514800
2019-01-21,3770.0,3820.0,3730.0,3780.0,3086.87451171875,680035200
2019-01-28,3780.0,3950.0,3650.0,3900.0,3184.87060546875,800871000
2019-02-04,3900.0,3940.0,3850.0,3870.0,3160.37109375,295072800
2019-02-11,3900.0,3900.0,3750.0,3840.0,3135.87255859375,504085500
2019-02-18,3900.0,4000.0,3830.0,3960.0,3233.86865234375,566984500
2019-02-25,3960.0,3970.0,3840.0,3880.0,3168.537841796875,384432000
2019-03-04,3900.0,3920.0,3810.0,3860.0,3152.205078125,303652500
2019-03-11,3880.0,4030.0,3780.0,4000.0,3266.5341796875,390468300
2019-03-18,4040.0,4070.0,3960.0,4010.0,3274.7001953125,430924500
2019-03-25,4050.0,4160.0,4010.0,4150.0,3389.029052734375,312408700
2019-04-01,4170.0,4290.0,4130.0,4250.0,3470.692626953125,231986900
2019-04-08,4280.0,4360.0,4260.0,4350.0,3552.35595703125,491755800
2019-04-15,4330.0,4730.0,4320.0,4440.0,3625.852783203125,374836200
2019-04-22,4410.0,4450.0,4210.0,4340.0,3544.189697265625,621904800
2019-04-29,4390.0,4420.0,4190.0,4230.0,3454.359619140625,507200600
2019-05-06,4210.0,4280.0,4090.0,4100.0,3348.197021484375,588441700
2019-05-13,4000.0,4090.0,3660.0,3750.0,3062.375244140625,747054600
2019-05-20,3800.0,3970.0,3710.0,3920.0,3201.203369140625,808370000
2019-05-27,3930.0,4120.0,3810.0,4100.0,3456.058837890625,777439200
2019-06-03,4100.0,4270.0,4100.0,4230.0,3565.64111328125,196745300
2019-06-10,4250.0,4250.0,4150.0,4200.0,3540.35302734375,453493100
2019-06-17,4180.0,4360.0,4180.0,4310.0,3633.07666015625,518818600
2019-06-24,4350.0,4420.0,4290.0,4420.0,3725.800048828125,451478400
2019-07-01,4420.0,4420.0,4360.0,4400.0,3708.94140625,347504400
2019-07-08,4370.0,4560.0,4370.0,4530.0,3818.5234375,370642700
2019-07-15,4500.0,4550.0,4440.0,4500.0,3793.23486328125,333088500
2019-07-22,4500.0,4520.0,4400.0,4460.0,3759.517822265625,326032900
2019-07-29,4500.0,4510.0,4270.0,4270.0,3599.35888671875,588396700
